id;name
0;ღორის ხორცი
1;საქონლის ხორცი
2;ხახვი
3;ფქვილი, პურის
4;წიწაკა, წითელი, დაფქული
5;მარილი
6;ძირა
7;ქამა სოკო 
8;ნიორი 
9;ქინძი
10;წიწაკა, წითელი
11;ქათამი, მთელი
12;სტაფილო
13;ოხრახუში
14;კამა
15;ბრიჯნის ფანტელი
16;წიწაკა, შავი, დაფქული
17;რძე
18;კარაქი გამდნარი
19;შაქარი
20;მშრალი საფუარი
21;სოდა
22;კრემ-ყველი
23;შაქრის პუდრა
24;ცედრა ლიმონის
25;ვანილი
26;ჯემი ჟოლოს
27;ჯემი მოცვის
28;ლუდი              ,ღია
29;ბადრიჯანი
30;პომიდორი
31;ზეითუნის ზეთი
32;მზესუმზირის ზეთი
33;წიწაკა ბულგარული
34;ყაბაყი
35;ზეთისხილი
36;ქონდარი
37;როზმარინი
38;ყველი
39;მაწონი
40;კეფირი
41;კვერცხი
42;კარაქი
43;კარტოფილი
44;ხახვი მწვანე
45;წიწაკა ტკბილი
46;პრასი
47;წყალი
48;წიწიბურა
49;საფანელი
50;კომბოსტოს მწნილი
51;პილპილი
52;ხის სოკო
53;ახალი ნიორი
54;ტარხუნა
55;პიტნა
56;თეთრი მშრალი ღვინო
57;ტყემალი
58;ციკნის ხორცი
59;წიწმატი
60;ნივრის ფოჩი
61;წიწაკა მწვანე
62;სულუგუნი
63;ფქვილი            ,სიმინდის
64;ღერღილი
65;ხმელი ქონდარი
66;მწვანილი
67;წითელი ღვინო
68;ზეთი მცენარეული
69;სოსისი
