name;recipe;url;image;ingredients
ხინკალი მთიულური;"1.  დაჭერით  ხორცი  და  გაატარეთ  ხახვთან  ერთად.  დაუმატეთ  მარილი, მსხვილად დაფქვილი  წითელი  წიწაკა,  ძირა,  იმდენი  წყალი,  რამდენსაც  შეიწოვს  და  კარგად  მოზილეთ.

2.  პურის  ფქვილი  მოაგროვეთ  გორაკად,  შუა  ადგილზე  ჩააღრმავეთ  და  ჩაასხით  მარილიანი  წყალი.  მოზილეთ  მაგარი  ცომი.

3.  დადეთ  ცომი  დაახლოებით  20  წუთი.  

4.  გააბრტყელეთ  ცომი,  ჭიქით  გამოჭერით  მრგვალ  ნაჭრებად.  გამოჭრილი  ნაჭრები  გააბრტყელეთ  თხელ  ფენებად,  დაადეთ  ერთი  სუფრის  კოვზი  ფარში,  გაუკეთეთ  ნაკეცები,  მოუგრიხეთ  თავი  და  ფრთხილად  დატკეპნეთ.

5.  ჩაყარეთ  ადუღებულ  მარილიან  წყალში  და  მოხარშეთ.  დროდადრო  აურიეთ,  რომ  ქვაბის  ძირს  არ  მიეკრას.  როდესაც  ხინკალი  ამოტივტივდება,  მზად  არის.";https://gemrielia.ge/recipe/2771-namdvili-mTiuluri-xinkali/;https://gemrielia.ge/media/__sized__/images/2d1cb3390592b1642948a9233e57cd72-crop-c0-5__0-5-450x301-70.jpg;"{""0"":""300 გრ"",""1"":""200 გრ"",""2"": ""3 თავი"",""3"":""500 გრ"",""4"": ""1/2 ჩ.კ"",""5"":""გემოვნებით"",""6"":""1/2 ჩ.კ""}"
ხინკალი სოკოთი;"წვრილად დაჭერით ქამა სოკო, ხახვი და ქინძი. ხახვი მოშუშეთ კარაქში, დაამატეთ სოკო. შემდეგ დაამატეთ ნიორი, მარილი, პილპილი. სოკოს მიერ გამოშვებული წვენი ბოლომდე არ დააშროთ, რათა ხინკალი წვნიანი გამოვიდეს.

ცომი გააბრტყელეთ და ამოჭერით როგორც ტრადიხიული ხინკლის შემთხვევაში. ჩაუდეთ გულსართი და მოხარშეთ მარილიან მდუღარე წყალში, სანამ ზემოთ არ ამოტივტივდება";https://gemrielia.ge/recipe/1860-xinkali-sokoTi/;https://gemrielia.ge/media/__sized__/images/13ccc-crop-c0-5__0-5-450x301-70.jpg;"{""7"": ""1-1.5 კგ"", ""2"": ""2 თავი"", ""8"": ""1-2 კბილი"",""9"": ""50 გრ"", ""5"": ""გემოვნებით"", ""4"": ""გემოვნებით""}"
ქათმის წვნიანი ბრინჯის ფანტელით;"ქათამი დავჭრათ, დავასხათ წყალი და მოვხარშოთ. ტაფაზე დავდოთ კარაქი და მოვთუშოთ წვრილად დაჭრილი ხახვი.
სტაფილო დავჭრათ მოგრძო ნაჭრებად და ჩავუმატოთ ქათმის ბულიონს, დავუმატოთ დაჭრილი მწვანილები, მოთუშული ხახვი
და ვადუღოთ 10 წთ. ბოლოს დავუმატოთ ბრინჯის ფანტელები, მარილი და პილპილი. წამოვადუღოთ და კერძი მზადაა.";https://gemrielia.ge/recipe/5826-qaTmis-wvniani-brinjis-fanteliT/;https://gemrielia.ge/media/__sized__/images/brinjissupi3-crop-c0-5__0-5-450x301-70.jpg;"{""11"": ""1 ცალი"", ""12"": ""2-3 ცალი"", ""2"": ""1 თავი"", ""13"": ""1 კონა"", ""15"": ""1 ჭიქა"", ""4"": ""გემოვნებით"", ""5"": ""გემოვნებით""}"
"ფუნთუშები ჯემით და კრემით
";"მოამზადეთ ცომი: ჯამში ჩაასხით თბილი რძე, დაუმატეთ გამდნარი კარაქი, მშრალი საფუარი, სოდა, მარილი და ნელ-ნელა შეაზილეთ ფქვილი. მოზილეთ რბილი და ელასტიკური ცომი. გადაიტანეთ ჯამში, გადააფარეთ ცელოფანი და გააჩერეთ 2 საათბი თბილ ადგილას.

ამასობაში მოამზადეთ კრემი: ათქვიფეთ კრემ-ყველი შაქრის პუდრასთან, ლიმონის ცედრასა და წვენთან, ვანილთან ერთად ერთგვაროვანი მასის მიღებამდე.

გაფუებული ცომი გადმოიღეთ ფქვილმოყრილ ზედაპირზე, გააბრტყელეთ.

მოამზადეთ ორივენაირი ჯემი: ჟოლოსი და მოცვის (შეგიძლიათ ჯემები თქვენი სურვილისამებრ შეცვალოთ სხვა ხილით). შეურიეთ ჟოლოს ჯემს 1 ჩ/კ კრემი, ხოლო მოცვისას 1/4 ჩ/კ.

გაბრტყელებულ ცომის 1/4 ნაწილს წაუსვით კრემი, შემდეგ გაანაწილეთ ჟოლოს ჯემი, ბოლოს კი პატარა მონაკვეთზე წაუსვით მოცვის ჯემი. დაახვიეთ მჭიდრო რულეტად, ხოლო შემდეგ დაჭერით თანაბარ ნაჭრებად.

ღრმა გამოსაცხობ ფორმაში ჩააფინეთ პერგამენტი, ჩაალაგეთ პატარა რულეტები მჭიდროდ (იხ.ვიდეო), გადააფარეთ ტილო და გააჩერეთ 1 საათით.

შემდე მოათავსეთ 180 გრადუსზე გახურებულ ღუმელში და აცხვეთ 25 წუთის განმავლობაში. გამომცხვარ ფუნთუშას მოასხით გამდნარი თეთრი შოკოლადი ან მოაყარეთ შაქრის პუდრა.

გემრიელად მიირთვით!";https://gemrielia.ge/recipe/5851-funTuSebi-jemiT-da-kremiT/;https://gemrielia.ge/media/__sized__/images/funtushebi5-crop-c0-5__0-5-349x220-70.jpg;"{""17"": ""2 ჭიქა"", ""18"": ""1/2 ჭიქა"", ""19"": ""1 ჭიქა"", ""20"": ""1/2 ჩ.კ"", ""21"": ""1 ჩ.კ."", ""5"": ""2 ჩ.კ."",  ""3"": ""5 ჭიქა"", ""22"": ""400 გ"", ""23"": ""1 ჭიქა"", ""24"": ""1 ქილა"", ""25"": ""1 ჩ.კ."", ""26"": ""1 ჭიქა"", ""27"": ""1/4 ჭიქა""}"
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
